example,text
0,"if the value x is the slope, in the after picture, the new value for the slope is 2x so twice what it was before"
0,when the height is doubled the slope will more than double as well as it is not affected by the run.
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0,It cannot be less that double the slope it had before because slope is rise over run.
0,"it is inversely proportional, as the y value increases and x decreases in the ""after."" if the y values of both the ""before"" and ""after"" were equal, then the slope would be exactly twice what it was before. "
0,"slope=rise/run, in the second graph, although the rise is 2 times greater than the run,  the run decrease. 





we do not know what ratio is the run in graph 1 and graph 2."
0,"the slope is rise over run, the x and y is increasing by 2, so the slope has to be doubled as well"
0,there is not enough information
0,there is not enough information
1,"I chose this because the rise is clearly doubling from x to 2x however the run is getting smaller as the ladder moves in closer to the wall, so the slope would be more than twice not exactly twice than it was before. "
0,I feel that the slope is less than it was before because of the angle of the latter was to what it became
1,"The change in y is doubled, while the change in x is decreased, so the total change in slope is greater than double the original."
0,"





[QS 13 PROOF.pdf](https://app.crowdmark.com/text-attachments/868b091d-cf0b-4d92-a096-6cae90086764)





"
0,The slope becomes twice what it was before due to the fact that x is being multiplied by 2.
0,"Attached in file above. 





"
0,I believe the slope is twice as much because the values of each axis was changed and the second graph is twice as long as the first.
1,"Not enough info, the distance from the wall to the base of the ladder is needed. This depends on how far the ladder was originally to the wall, the closer it was, the change in slow will be higher, if it was originally further from the wall, then the change in slope will be lower."
0,"If the height is doubled, then the corresponding output for the second position is doubled. If we are assign possible values. Since the slope is directly proportional to the output values, if the output is doubled then the slope should double as well. (m = y2-y1/x2-x1)."
1,"The rise of the slope doubles, and since the ladder length doesn't change, the thing that does change is the run of the slope. Since the rise (numerator) doubles and the run (denominator) decreases, the slope of the latter will increase more than double.  "
0,"





![F1C08ED4-5DD3-45A5-96DB-32CE3BA246EF.jpeg](https://usercontent.crowdmark.com/d2a99593-51d5-49ed-880d-b2b98ec5b985.jpeg)





"
0,to solve this equation I plugged points for x and the hypotenuse and solved using sin the angle or slope between the floor and the ladder. using the two values i obtained I found that one was more then twice the other. 
1,"While solving this question, it is assumed that as the height is doubled the distance from the wall is halved. I assigned the distance from the wall the variable n. I know that to see how the slope changed I would have to divide the new slope by the previous slope. Thereby, I found the new slope and used rise of over as the formula, in this case new slope is 2x/(n/2) which simplifies to 4x/n. Then I found the previous slope using rise over run, giving me x/n. Finally, I divided the new slope by the previous slope giving me the constant 4. This value indicates that the new slope increased by 4 times the previous slope, when the height was doubles. "
0,"The x of the ladder may have doubled but the position of the bottom of the ladder has halved, equaling the slope out and making it the same as before (based on rise over run)."
1,because you double the y value of the slope by 2 and also the x value becomes shorter it should be more than double because slope is rise over run
1,The slope is rise over run and since rise is getting larger as run decreases the new slope will be larger than before
0,"I am pretty sure it is around twice but since there are no coordinates , I can't determine the answer."
0,the formula for slope  is x2-x1/y2-y1 and the formula a^2+b^2=c^2 applies. the slope will multiply by 2 according to these two functions. 
0,rise over run
0,guessed this one 
1,"i pictured it as the slope equation, rise over run. rise doubles as the height doubles, and since the run is getting smaller, the slope would overall increase by two times."
0,"As the equation for slope is y/x, by increasing the 2x means dividing the length at the bottom (b) by two. Therefore, the equation would something like this: 2x/(1/2b). Assuming x=2 and b=8. Using the original y/x would yield 2/8, but with the 2x/(1/2b), it would be 4/4, which is more than twice what it was before. "
0,"Please see the screenshot attached





![IMG_645B183A382B-1.jpeg](https://usercontent.crowdmark.com/d246e363-c22f-4d35-883b-e4c191b87794.jpeg)





"
0,"Depending on the ratios of x and y, the value of x in the second image may be different. "
0,"The latter is linear so when adjusted by a factor of 2, the slope becomes steeper by the same factor. "
0,"Because the ladder's height was twice of what it was before, this is the only correct answer as the values have pretty much doubled."
1,"While x is doubled, the width covered by the ladder decreases but not exactly by half. If the value for the height increases by half and the value for the width decreases, the slope of the ladder would have a higher value as the numerator is larger and the denominator is smaller. "
0,"





[IMG_2186.HEIC](https://app.crowdmark.com/text-attachments/7e79277f-b95d-40a1-ae72-a78ac5e0c7f8)





"
0,"Since slope is run/rise, and the ladder is fixed length, we have no idea the new run of the ladder"
0,"slope = rise over run. The rise doubled, so the slope doubled. "
1,"looking at the ""before"" picture, if we put the x side to 2x without consider the fixed hypotenous side, the slope is twice the original slope. however, since the hypotenous side is fixed, the slope will be much steadier."
1,"Hypotenuse lenght stayed the same





Doubling the rise and decreasing the run makes the slope double more than before"
1,"its more than twice because the bottom of the ladder moved, meaning the run is now a shorter distance and double the rise "
1,"even though the rise increased by 2, the run decreased as well and because the ladder is a fixed length. "
1,The slop increased because the ladder appears steeper after it was moved. It would increase by more than double because the slope is not directly proportional to the y value of the end of the ladder.
0,"The ladder is moved up, making its slope steeper and therefore making slope twice what it was previous."
1,"The rise is doubled and the run didn't decrease. Since the ladder is a fixed length the run has to shrink, meaning it is more than twice the slope"
0,"slope = rise over run 





say the slope was 2 





2x would be 2(2) = 4





which is exactly twice what it was before 





"
0,"If the ladder went two feet across and one foot up in the first picture, its slope would be 1/2. if the ladder was moved one foot up, it now has a slope of 2. this is only a quarter bigger."
1,"through the transitive property, since the vertical gianed x, the horizonal lost x. Therefore the slope went from (1/2)x to 2x. Which is 4* what it was before"
0,"





[IMG_7304.heic](https://app.crowdmark.com/text-attachments/e2a495f2-0397-49f0-854a-a16f141bc5f5)





"
1,"





![4925C140-1BF0-4CF0-BFCB-EB2E11EC4289.jpeg](https://usercontent.crowdmark.com/88963a53-e336-4d96-bf09-1c7046eadfe6.jpeg)





since the rise is increasing by a factor of 2 and the run is decreasing the overall slope should be greater than 2 since slope is rise/run"
0,"If we look at the formula for m = (y2-y1)/(x2-x1) and Pythagorean theorem (let constant side = 10 units and y = horizontal side length) then y^2 = 100 - x^2











If we assume the bottom of the ladder was resting at the origin, our slope formulas would look like this: 





m = x/(square root of (100-x^2))





m = 2x/(square root of (100 - (2x)^2))





Substitute values for x and solve for the slope. 





x=2





m = 2/( square root of (100-4))





= 0.203





m = 4/(square root of (100-16))





m = 0.436











2x0.203 is less than 0.436, therefore the slope of the ladder is more than twice what it was before.  





"
0,"I believe that there is not enough information to determine if any of a through d is correct because in order to determine the slope of the ladder, we must be given both the y and x values. Because we were only given values on the y-axis, we cannot accurately give an answer, despite what it may seem like through the pictures given."
0,"You do not know the X value, so it is impossible to calculate the slope."
1,The run decreases and the rise increases so more than twice.
0,"the slope of a straight line is given by x/y, since the variable in this case indicates the y-value, the equation for each slope would be (x)/x and (x)/2x. when the x-value is divided by 2, the slope will be less than twice what it was before."
0,"im not sure, im assuming by using proportionality the slope will be double"
1,"The key phrase in this question is ""of fixed length."" The slope of the ladder is calculated by the formula $rise/run$. In this case, the rise must INCREASE and the run must DECREASE to obtain the ladder's position in the after photo since the ladder is a fixed length. This means the slope will increase by more than a factor of 2. "
1,"Since the length has been doubled, the width has gotten shorter as well therefore the slope  is more than twice as it was before."
0,"





![Baseline Assessment #13.png](https://usercontent.crowdmark.com/d21dbd64-8cb1-495e-8f2d-41017f02abb5.png)





See attached file."
1,"Slope=rise/run. For the ""before"" ladder we can see that the rise is x and the run is an unknown value. For our purposes we can call the unknown value y. For the before ladder the slope is x/y as it is the rise over run. For the ""after"" ladder, the rise is now 2x and we can assume that the run is y/2 as the run looks approximately half of what it was for the ""before"" ladder. 2x/(y/2)=4x/y . The slope of the ""after"" ladder is 4x/y. The denominators are the same for both slopes. As the denominator is 4x for the after ladder compared to x for the before ladder, we can see that the slope for the after ladder is more than twice the slope of the before ladder."
1,"Twice the original slope would be 2x / y while the after slope would be 2x / smaller y, meaning it will be greater"
0,The slope of the ladder is  exactly twice as it was before.
0,"To determine slope, 2 pieces of info are required, the length that the ladder reaches, as well as the distance it is from the wall. Only one is provided so we cannot solve this problem."
0,Since the slope is now steeper I think that it would cause the slope to double 
1,"unsure about how to find answer. 





guess: m = y2-y1 / x2 -x1. 





Since the y2 is twice as big and the x2 value is now smaller since the distance was shortened, the m value will be larger than before (where denominator was bigger than nominator). Thus, more likely to be more than twice as big as original slope. "
0,"the slope went from x to 2x because it is twice as high, therefore the slope is twice as big."
0,"When you use a physical model, this answer makes the most sense."
0,"Since the length of ladder doesn't change you can assign it a fixed value such as 6. 





Let ladder= 6 m





Let x= 2m





Find value of bottom 1: b^2= 6^2 - 2^2 = 5.657 m





Then find slope of ladder: 2/5.657 = 0.3535











Find value of bottom 2: b^2 = 6^2 - 4^2 = 4.472





Find slopw: 4/4.47d = 0.89445 











The difference between 0.3535 and 0.89445 is greater than 2."
1,"The slope of the ladder is now more than twice what it was because as you are increasing the rise you are decreasing the run. For example, if the slope was initially 2/1. The rise would be double to 4 and the run could decrease to 0.5 which would now give us a slope of 8 which is more than twice what it was before. "
0,I guessed for this one
1,"I assumed the x value in the before graph was equal to the distance between the ground and the wall in after graph. Therefore, the distance between the ground and the wall in the before graph would be 2x, as both of the triangles are identical in their dimensions. Next, I used the slope formula (m = rise/run) to approximately calculate how steep each graph is. The before graph was m = x/2x = 0.5. And the after graph was m = 2x/x = 2. Then I did 2/0.5 = 4, thereby being more than twice it was before (so I chose the third option). "
1,"





![Image (10).jpeg](https://usercontent.crowdmark.com/30698ade-e208-4a52-9af7-839c03b63543.jpeg)











The rise increase but the run decreases and so if you do the calculations you will find that it is more than twice what it was before. "
1,"When the ladder is adjusted, the rise doubles however the run decreases, hence the slope will be more than twice because the slope formula is rise/run."
0,"This is because on the x-axis, it does not show any variable or scale. Although visually it can be assumed that the slope is the same, there is not enough information, to prove that this assumption is correct."
0,"random values for the length of the ladder and the value for x, then compared the slopes of the ladder by finding the angles using trig ratios

















![Screen Shot 2022-09-11 at 3.59.40 PM.png](https://usercontent.crowdmark.com/bcf55e25-1cb2-43c1-9f56-4dc039701166.png)











the second angle is more than double the first"
1,"the rise of the slope has increased but the run has decreased , therefore the slope gets steeper and is increasing . Since the run is decreasing the skip cannot be less than twice or exactly twice."
0,we need the distance of the bottom of the latter from the floor to figure out the slope of the ladder. 
0,"We do not know the distance and change in distance from the bottom of the ladder to the wall, so we cannot determine the change of slope in terms of x. "
0,![IMG_0548.JPG](https://usercontent.crowdmark.com/055eb76a-8023-48f1-be79-21d197b09b05.jpg)
0,whatever x value are going to be given for the slope of this graph would have to be multiplied by 2 so it would have to be exactly twice what it was before.
0,the x value also changed
1,the height (rise) is increasing by a factor of 2 and the run is decreasing 
1,"The height increases by 2 times what it was previously and the distance from the wall to the base of the ladder must decrease in order for the ladder to meet both ends. Therefore, the slope has to be more than twice of what it was before. "
0,The slope increased since the ladder is closer to being straight then it was before and that creates a steeper hill like slope
1,"The slope can be found by calculating rise/run. Since the 'rise', which is in the numerator, has turned from x to 2x, we can decipher that the slope has increased by at least 2 times. But, since the ladder remains the same length the 'run', the denominator of the slope equation, must have decreased. Therefore the slope must now be more than twice it was before."
0,"the adjustment was twice, so the change should be twice"
1,"When increasing the top of the height by 2 times, the actual length of the ladder will be kept constant. In order to study the change in the slope of the ladder, we would need to study the change in the horizontal values. By using pythagoras theorem, we can study the relationship between the horizontal value for the first graph and the second graph (since the hypotenuse is constant). It turns out that the value of x1 (first graph) is more than two times greater than x2 (second graph). Through this relation, it can be deduced that the slope of the ladder will be more than 2 times greater than the previous slope "
0,"sub values for x and and ladder length, solve for unknown side and find slope"
0,"We know that the rise is two times the original, but the run is not included, therefore we cannot know exactly how the slope changed. "
0,coefficient is now 2
1,"with the rise (2x) increasing by 2x, the slope would just be twice but since the run decreased, it will be more than twice"
1,"the rise is now 2, a slope of 2 iss more than double 1/2 which was the slope of the first ladder positioning"
0,"In order to determine slope, you would need the distance of the top of the ladder from the floor and the distance from the bottom of the ladder. However, only the distance of the top of the ladder was given. Therefore, slope cannot be determined. "
0,I don't think we have enough values to determine the answer. 
