Text,achievement,affection,bonding,enjoy_the_moment,exercise,leisure,nature
"I made a new recipe for peasant bread, and it came out spectacular!",1,0,0,0,0,0,0
I was shorting Gold and made $200 from the trade.,1,0,0,0,0,0,0
Managed to get the final trophy in a game I was playing.,1,0,0,0,0,0,0
Got A in class.,1,0,0,0,0,0,0
The cake I made today came out amazing. It tasted amazing as well.,1,0,0,0,0,0,0
i was able to hit a top spin serve in tennis,1,0,0,0,0,0,0
I consumed a well garnished bowl of ramen twice today. It was so delicious.,1,0,0,0,0,0,0
I received an award for my work on a tough loan process that I helped develop.,1,0,0,0,0,0,0
I achieved my daily income goal.,1,0,0,0,0,0,0
TODAY MORNING MY SON'S EXAM RESULTS CAME. HE HAD GOT DISTINCTION THAT IS FIRST GRADE  IN ALL SUBJECTS I FELT VERY HAPPY,1,0,0,0,0,0,0
I bought a new TV,1,0,0,0,0,0,0
Our national cricket team won the test match and the series this morning. This win sealed our position as the no.1 Test team in the world. This made me very happy today.,1,0,0,0,0,0,0
I made a bunch of extra sales in my side business last night.,1,0,0,0,0,0,0
I got a promotion today after 2 years of service at my job.,1,0,0,0,0,0,0
I woke up early in the morning at 7 am against daily of 8:30 am,1,0,0,0,0,0,0
when i logged on to account on m-turk i saw that all the pending hits  have got approved and i still had 100% acceptance,1,0,0,0,0,0,0
I slow cooked a chuck roast on my stove that came out great.,1,0,0,0,0,0,0
Today morning I was selected as a Junior Engineer for a leading and familiar mobile sales company.,1,0,0,0,0,0,0
I was happy when one of my day trade gave me good profit today.,1,0,0,0,0,0,0
I lost 2 kgs of weight after a month long effort I had put to achieve it.,1,0,0,0,0,0,0
i finally learned to cook chicken,1,0,0,0,0,0,0
"I was very tired after work, but I still managed to go for a 12 mile bicycle ride. This is great since I had knee surgery 2 months ago.",1,0,0,0,0,0,0
I did my income taxes for this year and I have a nice refund coming.,1,0,0,0,0,0,0
I was able to do 150 push-ups today which is the highest I've done.,1,0,0,0,0,0,0
I met with my city mayor and given valuable advice for development of city.,1,0,0,0,0,0,0
I finished painting my granddaughters bedroom,1,0,0,0,0,0,0
I got a new phone and it is great because I have never had a phone before.,1,0,0,0,0,0,0
I got travel visa as a tourist for 3 months to Australia,1,0,0,0,0,0,0
"Hi, The thing that made me happy is, I have finished all my tasks in my office and got appreciation from team leader for the work done yesterday that moment made me happy in the past 24 hours.  Yesterday I performed well and this is the first time I got team topper position that moment made me happy.",1,0,0,0,0,0,0
I could do 108 suryanamaskars in 40 mins for which I would otherwise take 60 mins!!,1,0,0,0,0,0,0
I got very happy because of doing more task in mechanical turk and got more reward points. It made me to feel happy in the last 24 hours,1,0,0,0,0,0,0
I came to my office at right time.,1,0,0,0,0,0,0
The day I got my degree in industrial engineering,1,0,0,0,0,0,0
I won a cricket match and i played really well.,1,0,0,0,0,0,0
"I went to office hour of one of my professors, and I realized that he was the most caring professor/mentor ever.",1,0,0,0,0,0,0
A made quite the progress on an old rusty workbench I am restoring at the moment. With the new paint it looks like new.,1,0,0,0,0,0,0
Getting all my errands done and completed.,1,0,0,0,0,0,0
I was able to beat my record for bench press,1,0,0,0,0,0,0
I just cracked an interview at IBM that made me feel happy like never before,1,0,0,0,0,0,0
I flew one of my RC model planes around in my yard.  I was able to maneuver around trees in my yard and power lines at the side of the road.  I sometimes have minor crash's due to the confined space but often am able to fly a nice long flight without any incidents at all.  This was one of those times.  It is super fun.,1,0,0,0,0,0,0
I went to the grocery store to buy a cooked whole chicken from the deli and found that it was half-price for the day.,1,0,0,0,0,0,0
Today 10.00 am I got my driving license  for 2 wheeler & 4 wheeler . since last week I was waiting this driving license.,1,0,0,0,0,0,0
I completed all my flashcards for an upcoming test.,1,0,0,0,0,0,0
I am able to sleep longer than usual,1,0,0,0,0,0,0
Yesterday solved a big issue related to family,1,0,0,0,0,0,0
I finally mastered how to make crispy tofu.,1,0,0,0,0,0,0
"I am working as principal. I have applied for the post of CEO, today morning i received this confirmed notification mail. I was very happy and whatever they expected from me. I gave everything through post. Thanks for remembering me this incident.",1,0,0,0,0,0,0
I got a bonus at work for a creative idea that i came up with to enhance safety.I can now buy something nice for myself.,1,0,0,0,0,0,0
"Riding home on a sunny but cool afternoon, along riverside path.",1,0,0,0,0,0,0
"I got promoted as Senior Manager yesterday, i am more than happy.",1,0,0,0,0,0,0
i brought a new mobile to day morning,1,0,0,0,0,0,0
I was able to do a full hour of research on a topic that had been nagging me.,1,0,0,0,0,0,0
Well yesterday started off  early waking up at 5 am to do mturk  task and I woke up to find  I got a unexpected bonus. Being someone just  hardly scraping by  between disability checks  and  some small side jobs  that dont  pay  enough to cover the bills  even a  75 cent bonus   is a help  and honestly its  just nice  to see  my work is helping.,1,0,0,0,0,0,0
after 2 month i bought new tcl 32 inch led tv its looks cool and i really loved it,1,0,0,0,0,0,0
Solving an engineering mechanics problem made me happy.,1,0,0,0,0,0,0
