text,joy,sadness,anger,anticipation,fear

“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry,0,0,0,1,0

Do you think humans have the sense for recognizing impending doom? ,0,0,0,1,0

“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears,0,0,0,1,0

should I #start posting #photos?,0,0,0,1,0

Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark,0,0,0,1,0

#chirp look out for them Cars coming from the Wesszzz,0,0,0,1,0

Anybody know a good place to book a show in #Montreal on short but not super-short notice? #punkrock #postpunk #blues,0,0,0,1,0

@Rovers what highlights ? I would imagine you will only have 30 seconds of highlights for the whole season so far . #venkysout,0,0,0,1,0

Need advice on how to get out of this rut!!!!  #needmotivation,0,0,0,1,0

"@Courteoussoul @MattyMcDee I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?",0,0,0,1,0

Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,0,0,0,1,0

I think they may be #offended,0,0,0,1,0

So is texting a guy 'I'm ready for sex now' considered flirting?' ,0,0,0,1,0

"Does Bret have a point? Cena, Balor, sting...",0,0,0,1,0

Congress attended by midterm liveliness differently constraints: qmiv,0,0,0,1,0

"@_haye_ optimism is he'll lose, that's actually a compromise :P",0,0,0,1,0

@StutteringGiant at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,0,0,0,1,0

"If her legs aren't shaking, you're not doing it right.",0,0,0,1,0

Hannah: 'This week on Survivor: Find out who is more buoyant. Gen X or Millenials!' #survivor,0,0,0,1,0

"@DrColJ @drshow #Muslims have been in USA for ages. To think that Muslims commit #terrorism due to #Islam, you gotta be out of your mind.",0,0,0,1,0

"Coworker: 'That happened to a friend of mine once, but with guns instead of babies.' #workplace ",0,0,0,1,0

